raw_panel,target_order,target_index,snark_order,snark_class_index,deleted_vertex,deleted_edge_after_vertex_deletion,hajos_witness_count,has_ordinary_hajos_witness,example_left,example_right,example_left_edge,example_right_edge,identify_left_endpoint,identify_right_endpoint,target_graph6
1,17,196,18,1,3,"[5, 10]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P??CA?_CC`E_P?BO?WAS?gC?
2,17,196,18,1,5,"[3, 9]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P??CA?_ACPD_T?@OAWAC?gC?
3,17,196,18,1,6,"[0, 7]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P???A?oBCPD?S?@OAWAK?gC?
4,17,196,18,1,7,"[6, 12]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P???A?oBCPD?S_@oAGAG?gC?
5,17,196,18,2,0,"[7, 13]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P??CA?_CCoIOI?BGCg?B?oC?
6,17,196,18,2,2,"[5, 14]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P?AA??_cAoAOI_@GCgCB?OC?
7,17,195,18,2,5,"[2, 8]",108,True,9#1,9#1,"[0, 3]","[0, 3]",0,0,P?AA??OaAODOC_@GAgCB?WC?
8,17,196,18,2,8,"[5, 11]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P??CA?OaAODGDO@gAOC@?WC?
9,17,196,18,2,10,"[3, 13]",144,True,9#1,9#1,"[0, 3]","[1, 6]",0,0,P??CA?_CAWDG@O@cASC@_W??
10,17,195,18,2,13,"[0, 10]",108,True,9#1,9#1,"[0, 3]","[0, 3]",0,0,P??CA?_C?OH_IO@cASC@_WA?
11,19,3026,20,1,0,"[2, 15]",24,True,9#1,11#2,"[0, 3]","[2, 6]",0,0,R????A?WA_BAHAK?OO?[??wAH??H??
12,19,1917,20,1,15,"[0, 14]",12,True,9#1,11#2,"[0, 3]","[6, 10]",0,0,R????A?O@_D?BAC`B??M??[@C_CC_?
13,19,1913,20,2,2,"[7, 18]",24,True,9#1,11#1,"[1, 6]","[2, 6]",0,1,R??CA??GC_X?T?E_@@@H??[?`??G_?
14,19,3026,20,2,15,"[3, 18]",24,True,9#1,11#2,"[0, 3]","[2, 6]",0,0,R???C@?G?_P?p?Q_@g?c_?M?@_@CO?
15,19,1911,20,2,18,"[2, 15]",36,True,9#1,11#1,"[0, 3]","[2, 6]",0,0,R???C@?G?_P?p?Q_@g?GGCc??w@CO?
16,19,3026,20,3,6,"[7, 19]",24,True,9#1,11#2,"[0, 3]","[2, 6]",0,0,R???C@?G?wQ?Coa_?gBO?@K?__A?_?
17,19,3026,20,3,7,"[6, 18]",24,True,9#1,11#2,"[0, 3]","[2, 6]",0,0,R???C@?G?wQOCOa??wBO?@K?__A?_?
18,19,1913,20,4,9,"[6, 12]",24,True,9#1,11#1,"[1, 6]","[2, 6]",0,1,R???C@?C?WW?WOi??K?g?@c?Go?cO?
19,19,1913,20,4,12,"[9, 16]",24,True,9#1,11#1,"[1, 6]","[2, 6]",0,1,R???C@?G?_@_WOi??M?g?@a?Gg?cG?
20,19,1917,20,5,2,"[7, 19]",12,True,9#1,11#2,"[0, 3]","[6, 10]",0,0,R???C@?G?_BAHAK_@oEO?@W@@?C@??
21,19,1910,20,5,7,"[2, 18]",12,True,9#1,11#1,"[0, 3]","[2, 9]",0,0,R???C@?K@O@aCaE??oEG??w@@?C@??
22,19,1917,20,5,18,"[7, 14]",12,True,9#1,11#2,"[0, 3]","[6, 10]",0,0,R????A?O@_D?BAC`B??M?p??AoCA_?
